Local,Contrato,Identificação,janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro,Total,Média,Ano
Pal.Planalto - Instal,42/2022,1.087.797-5,"183,528","212,303","191,559","219,136","200,868","211,706","202,439","202,330","213,290","215,194","224,614","227,124","2,504,091","208,674","2,023"
Pal.Planalto - Ar.Condi,42/2022,1.087.798-3,"69,271","90,407","84,945","102,476","82,334","80,762","64,183","64,485","79,143","89,584","103,295","102,827","1,013,712","84,476","2,023"
Pal.Planalto - Anexos,42/2022,923.928-6,"311,214","337,047","302,876","357,052","298,205","539,470","269,696","244,056","297,273","328,864","354,563","361,420","4,001,736","333,478","2,023"
Pal.Planalto - Incêndio,43/2022,1.089.702-x,100,240,120,100,120,100,100,100,100,100,100,100,"1,380",115,"2,023"
Pal.Planalto - Garagem,42/2022,491.662-x,"33,644","37,897","38,991","39,491","33,744","33,951","30,309","31,555","34,980","43,678","48,837","46,948","454,025","37,835","2,023"
Almoxarifado Central,42/2022,466.456-6,"15,565","18,041","20,471","20,494","16,596","17,349","13,598","12,755","16,622","22,622","25,207","25,306","224,626","18,719","2,023"
Pavilhão das Metas - SNJ,43/2022,1.489.481-5,"12,640","15,200","17,680","15,280","13,284","15,908","12,792","13,448","16,400","18,860","21,484","21,402","194,378","16,198","2,023"
GSI - PR,42/2022,1.297.397-1,"57,896","66,904","64,512","67,086","56,948","56,442","47,609","49,625","60,603","78,210","83,589","80,821","770,245","64,187","2,023"
Pal.Alvorada,42/2022,703.776-7,"107,282","74,379","103,312","119,389","100,112","112,395","107,413","122,176","117,483","115,942","141,999","136,156","1,358,038","113,170","2,023"
Granja do Torto,42/2022,491.708-1,"28,550","19,829","25,043","24,398","22,603","20,231","25,843","25,958","26,442","29,299","28,654","28,300","305,150","25,429","2,023"
Pal.Planalto - Instal,42/2022,1.087.797-5,"216,807","222,427","196,450","243,697","242,179","233,605","205,041","214,494","207,627","206,693","225,679","214,090","2,628,789","219,066","2,024"
Pal.Planalto - Ar.Condi,42/2022,1.087.798-3,"100,433","115,101","93,186","118,596","118,762","101,356","85,426","88,478","86,295","99,279","110,697","87,425","1,205,034","100,420","2,024"
Pal.Planalto - Anexos,42/2022,923.928-6,"353,083","347,188","318,186","346,794","349,258","318,464","278,511","290,228","306,633","341,584","357,015","315,984","3,922,928","326,911","2,024"
Pal.Planalto - Incêndio,43/2022,1.089.702-x,100,100,100,100,100,100,100,100,100,100,100,100,"1,200",100,"2,024"
Pal.Planalto - Garagem,42/2022,491.662-x,"42,838","41,516","37,714","44,776","42,949","37,234","28,874","30,757","32,543","41,331","41,217","33,318","455,067","37,922","2,024"
Almoxarifado Central,42/2022,466.456-6,"22,231","19,098","17,644","22,250","21,945","18,082","12,432","12,302","13,997","20,407","20,593","16,620","217,601","18,133","2,024"
Pavilhão das Metas - SNJ,43/2022,1.489.481-5,"16,400","18,860","20,008","17,794","20,336","18,080","14,480","15,200","17,840","20,560","20,480","19,600","219,638","18,303","2,024"
GSI - PR,42/2022,1.297.397-1,"73,456","69,413","63,654","75,359","71,247","62,203","46,386","47,998","56,357","72,672","76,810","65,689","781,244","65,104","2,024"
Pal.Alvorada,42/2022,703.776-7,"120,312","121,763","114,482","136,419","137,328","144,980","130,641","157,840","156,306","160,368","165,550","147,904","1,693,893","141,158","2,024"
Granja do Torto,42/2022,491.708-1,"28,388","26,897","23,756","21,403","20,189","18,230","16,266","22,650","24,276","25,765","30,284","32,661","290,765","24,230","2,024"
