Local,Contrato,Identificação,janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro,Total,Média,Ano
Pal.Planalto - Instal,42/2022,1.087.797-5,"151,049.81","177,779.04","175,216.85","194,815.94","179,202.32","192,844.13","185,423.52","180,833.41","195,070.26","198,945.97","206,775.99","224,964.87","2,262,922.11","188,576.84","2,023.00"
Pal.Planalto - Ar.Condi,42/2022,1.087.798-3,"62,568.58","81,774.91","84,528.42","97,360.37","79,708.45","79,378.30","65,430.13","64,619.74","78,484.22","89,581.90","102,938.74","109,761.27","996,135.03","83,011.25","2,023.00"
Pal.Planalto - Anexos,42/2022,923.928-6,"251,074.31","271,367.09","278,566.98","314,805.01","267,458.31","269,747.47","250,109.25","244,495.43","273,611.91","304,871.64","331,634.74","358,727.10","3,416,469.24","284,705.77","2,023.00"
Pal.planalto-icêndio,43/2022,1.089.702-x,85.91,217.31,92.96,83.71,102.08,85.98,86.8,84.93,85.83,87.28,89.28,94.35,"1,196.42",99.7,"2,023.00"
Pal.Planalto - Garagem,42/2022,491.662-x,"24,989.93","27,404.47","31,025.29","30,499.94","26,452.72","30,559.00","25,070.27","25,081.58","27,971.04","35,209.01","39,225.48","41,022.56","364,511.29","30,375.94","2,023.00"
Almoxarifado Central,42/2022,466.456-6,"12,245.59","13,811.30","17,460.59","16,175.36","13,914.18","14,793.57","12,201.37","11,322.56","14,195.70","19,012.44","21,246.66","23,564.23","189,943.55","15,828.63","2,023.00"
Pavilhão das Metas - SNJ,43/2022,1.489.481-5,"12,178.65","14,510.44","15,287.62","12,986.87","12,731.70","15,129.47","12,473.79","12,773.59","15,540.13","18,044.55","20,849.88","21,961.02","184,467.71","15,372.31","2,023.00"
GSI - PR,42/2022,1.297.397-1,"42,091.96","47,846.86","51,987.34","52,070.79","44,179.49","44,847.71","38,798.74","39,068.03","47,689.21","62,740.72","66,111.84","68,919.11","606,351.80","50,529.32","2,023.00"
Pal.Alvorada,42/2022,703.776-7,"82,736.20","60,935.16","85,457.49","93,284.01","83,233.84","92,356.53","91,278.13","98,858.27","97,312.92","97,230.74","114,779.94","119,049.39","1,116,512.62","93,042.72","2,023.00"
Granja do Torto,42/2022,491.708-1,"21,653.75","15,736.93","20,600.93","19,982.28","18,770.44","17,903.13","17,599.14","21,429.57","22,557.26","24,478.28","24,342.17","25,574.39","250,628.27","20,885.69","2,023.00"
Pal.Planalto - Instal,42/2022,1.087.797-5," R$ 207,131.56 "," R$ 219,229.98 "," R$ 197,480.22 "," R$ 236,068.17 "," R$ 245,263.21 "," R$ 233,135.42 "," R$ 203,485.21 ","R$ 218,888.66","R$ 210,647.05"," R$ 227,538.87 "," R$ 248,313.52 "," R$ 208,002.98 ","2,655,184.85","221,265.40","2,024.00"
Pal.Planalto - Ar.Condi,42/2022,1.087.798-3," R$ 105,369.48 "," R$ 121,769.82 "," R$ 101,754.60 "," R$ 123,534.93 "," R$ 125,870.87 "," R$ 107,820.38 "," R$ 92,831.89 ","R$ 97,942.06","R$ 94,917.13"," R$ 115,941.50 "," R$ 129,723.35 "," R$ 91,724.33 ","1,309,200.34","109,100.03","2,024.00"
Pal.Planalto - Anexos,42/2022,923.928-6," R$ 337,309.57 "," R$ 340,713.43 "," R$ 323,564.22 "," R$ 342,767.25 "," R$ 358,177.30 "," R$ 324,759.06 "," R$ 275,449.95 ","R$ 296,453.82","R$ 311,808.00"," R$ 380,272.60 "," R$ 393,154.31 "," R$ 310,966.37 ","3,995,395.88","332,949.66","2,024.00"
